14944336-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0x7cb7aa576ecbb1b3f09cf82d1454809fe2bfdedd253c840d279bb5f1039c1d23, 14944336, 85.23948, 2012, 2023-04-04 23:03:06, xcmpallet, reserve_transfer_assets
14944230-2, 12HawzVoJn6gyWnZkYg8txGgvRfHxFqviM7igbGeEtYjse2G, 0xe98d9b7c738331ec72166149016687b1c5924ffbbe60250c2e5050f7b87051fa, 14944230, 33.81064, 2000, 2023-04-04 22:52:30, xcmpallet, reserve_transfer_assets
14943918-2, 13uUeJc3e7smx7BFeKZLLDCnVwsMbCD8ZNeL2sLBb759M2L6, 0x3d5a1b99e9786258f83562d0ddcd6e7f7f04cb72b4957d6cc543b861ee09bbb1, 14943918, 29.0, 2000, 2023-04-04 22:21:18, xcmpallet, reserve_transfer_assets
14943727-2, 13uUeJc3e7smx7BFeKZLLDCnVwsMbCD8ZNeL2sLBb759M2L6, 0xf221c24a7db849fd75f66a5aff1cae9025fc181a2e65b91e2d62dd8377651800, 14943727, 1.8487, 2000, 2023-04-04 22:02:12, xcmpallet, reserve_transfer_assets
14943687-4, 13uUeJc3e7smx7BFeKZLLDCnVwsMbCD8ZNeL2sLBb759M2L6, 0x86b9091cb0d5e45a8e3a87cb287b6e8b51bf75fd9cd65679a459bc754b7ca1cc, 14943687, 0.1, 2000, 2023-04-04 21:58:12, xcmpallet, reserve_transfer_assets
14943555-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0x52a8a594af56c0e90f47c5d7bf6c9bf774e7c8422efba39592d01c4024493fa7, 14943555, 85.44162, 2012, 2023-04-04 21:45:00, xcmpallet, reserve_transfer_assets
14943548-2, 13WG2vd6Qyt6hbEdeCgfLKJ7gc4PgEy1Z9tdnsWeKNnmtKZi, 0xd874647c82e6dd3215109d157358bf721f5c2e0fb0968dbacd2466d8e58f0812, 14943548, 30.88114, 2000, 2023-04-04 21:44:18, xcmpallet, reserve_transfer_assets
14943510-2, 12Noqi8PWSbVNnHtyz8JywUFCXJrrV6SfCZc3o7DRgQLnTKs, 0xe9a5fffa4c559177a53e208f22b3ecb4513a0d5be7e16c624dd5a8291789b6e7, 14943510, 3.00981, 2030, 2023-04-04 21:40:30, xcmpallet, reserve_transfer_assets
14943473-2, 15zArxAvuPx8JJoCART7z9YGcy2Qdtt8W5euazXHWnSQjprc, 0xab22f632ca3974e2c37f3c38782a4d30544e762bc50da61a07c8655c002f2277, 14943473, 20.86904, 2030, 2023-04-04 21:36:48, xcmpallet, reserve_transfer_assets
14943366-3, 1C4bUWYWDmsY5JroPqWHiftK6TFAkayTNxUfKYHijAvcF1r, 0x30c87492bc06ddc2bfb381eb830a4b5b6404bce1ce13b31b08e048df9b402a79, 14943366, 87.00831, 2000, 2023-04-04 21:26:06, xcmpallet, reserve_transfer_assets
14943275-3, 13m6boJSP1GaqUuWZSZiFBZj5P8E1g2DLXYhwduR1Pav5Xwo, 0xdba1e058b3f4666fcd879b4a779e7b26329cc76990f3061aba43c1e63e6d9a71, 14943275, 4.2, 2000, 2023-04-04 21:17:00, xcmpallet, reserve_transfer_assets
14943256-2, 13m6boJSP1GaqUuWZSZiFBZj5P8E1g2DLXYhwduR1Pav5Xwo, 0xea46023ebab2c370957f0959fa5317a58e5cfc7b0a213e5985faaa9108585aba, 14943256, 1.0, 2000, 2023-04-04 21:15:06, xcmpallet, reserve_transfer_assets
14943103-2, 142icuqyLUjiW1sLTDBg82TE3RAxjn577iXYyea4LgHa9pkJ, 0x33fb141801bb806d76a32187d5bc4dbc3291807f49e57e7d1c3eac4b0e1a90d7, 14943103, 6.5, 2000, 2023-04-04 20:59:48, xcmpallet, reserve_transfer_assets
14943100-3, 15E6SfidvP3vwy9UkNPWLqptX8hgk8fijJReh1DxuSwK2M6A, 0x92e1e43bf334098bbb8cb22f75b630832325843d3d5aaede2ead034a2c5db46e, 14943100, 1.33, 2012, 2023-04-04 20:59:30, xcmpallet, reserve_transfer_assets
14943071-3, 15YVYGyQiyRotF5JhkQAwLLfq6AjZwRS8R3PeQrZX8rvnVag, 0xce58a25ed9feee8a38e9a6ec6357d0973e79f4fee3dacb02c263c0567a6fcb0e, 14943071, 139.99257, 2012, 2023-04-04 20:56:36, xcmpallet, reserve_transfer_assets
14943016-2, 138Uziu7suP23QGpcYgbRS1J3nkRXAAPfcwRX8EaYtLnYRn8, 0x683d395e8257ae19c5fcb474c0e8c99d0b76fbfb2130bcf0e085ba56eb46e477, 14943016, 100.01546, 2011, 2023-04-04 20:51:06, xcmpallet, reserve_transfer_assets
14942990-3, 1YvEN9mZWCDJ2Atp6cMjJc54NoThr2QqsV9QnRfpeSVECS9, 0x799327404edebf57739402fce140a1bb63ce81efdea1c4de23c003520d6210fd, 14942990, 200.0, 2000, 2023-04-04 20:48:30, xcmpallet, reserve_transfer_assets
