14933638-3, 1gatoakSkH4be8KD9Ekj5xCXMdAiGxieg2NfTg41s2UME5J, 0xa04a9e44bfdf87f0e5c4f5103afab68fb4fc0d6e353a55efe1900de23667c037, 14933638, 0, 2023-04-04 05:12:54, democracy, vote
14933285-3, 16JXDeYiqxUYTrzTF1aLJeFE26qUGkb2ATihHfnMk7NfA1Jh, 0x0f1239ceb9d1d3b44921a13082c4529237b7d48c29d343cceda88dfb1229d74a, 14933285, 0, 2023-04-04 04:37:36, democracy, vote
14932958-2, 13KoLANqZqUtyfj6hVDzLh3euJZmabuhepT8xG2VrNsF5XjA, 0x79cc12998748cb6be5ec244d8a5b8ed27ad2adcc3ad20300105fc3adbe0a3eb0, 14932958, 0, 2023-04-04 04:04:54, democracy, vote
14932824-4, 1HtWJy6zTTc6Y1hyRTVpM6MDCpiWknsjDssUPC3FTKjfAGs, 0x9338d0c8d462e50e96d5d88daf3e89e4496cc52a205256d541bce9181b77f5aa, 14932824, 0, 2023-04-04 03:51:30, democracy, vote
14932542-2, 123rZfdp1R6pBAN8Uft7NtsnSNLHvLgrBSkvLXtXcXtbP2Z9, 0x46ff82a88437805d4488ff6b34f4a3f3a5b8735b07bf4233e79fa270f4bcfb29, 14932542, 0, 2023-04-04 03:23:18, democracy, vote
14931928-2, 12ZNJzjPBZUh8VV5cuJFkbbwMttFNkH39EhoeYcgGHsJd4MG, 0x2fa955b17d4823699433c5f5104a79b54a946b1af1428ebd31f936537a268d27, 14931928, 0, 2023-04-04 02:21:54, democracy, vote
14931829-2, 15iwm1HrcGiTZoZenijMTCayRD3hM2RpKde3LrrNxPKAMjTg, 0x7dfcfc182e2ff9cda997750b0b23f2f9f1147708cb9b264a5bc4bb97844ceccd, 14931829, 0, 2023-04-04 02:12:00, democracy, vote
14931758-2, 14Q74NU7dG4uxiHTSCSZii5T1Y368cm7BNVNeRWmEuoDUGXQ, 0x65b0f2040bb3d75c789fe65a42858f1caa797f745baf833614315726ccd8dd58, 14931758, 0, 2023-04-04 02:04:54, democracy, vote
14931610-2, 152bxVuadKRxWV6Pq3F4qFNni9k9RJuDsbyryBsRwfSwEfxh, 0x9e876ffc42af47fa1e7fc2288b7ddfbde9caa94def5923c74d71fa9f4981de2c, 14931610, 0, 2023-04-04 01:50:06, democracy, vote
14931097-2, 14tcxHSTAiZf7M4vcLfFdGkGJFjfx6zDqds5QVyz2H24hKgG, 0x6a4067d6e67eec6d2b01ef687219066e42c7da03d6584232fb923f4a725b5453, 14931097, 0, 2023-04-04 00:58:48, democracy, vote
