14933825-4, 14Q1Py5UTawuQpQ6MeqoPuAnh8p1uLWjHTkPqJeZMYmQTGXw, 0xffcf1ff603200f5ecd9c8b3cc0729cfed5745b3885d4fb571203bac01e1e4d91, 14933825, 300.0, 2023-04-04 05:31:36, staking, bond
14933645-2, 15bw3G5M5D77gkD6YqmWhZAEE3Voatrd7f1hnr4zBMqu9Zb2, 0x013eb3f86126d95756deb1977a27087a86bbb9ef9128d858d5e8cacc4c5565b0, 14933645, 795.0, 2023-04-04 05:13:36, staking, bond
14933025-3, 12nSXes6zWCF2sESFEQjhL5FeFWmgVV5VCy1Eo2m44ptZNfy, 0xfb2396ea4336cb427312de0d412de9f986def35685ae5fb4ff8da61f53db6970, 14933025, 350.0, 2023-04-04 04:11:36, staking, bond
14932673-2, 12DxJxLQcgRxwKTqn646wp84vDrogXnaWXbmKXXqjokgiJe2, 0x2484b7d060f1c739ea3a6a2f0fc4425c997bde32aee84e95c22899a9a3157051, 14932673, 317.60371, 2023-04-04 03:36:24, staking, bond
14932242-2, 15x9B7PsYkRCE1vsboKRGyLytegAf6D2ao9qqcbPp6sJspvw, 0x68b45d78875cbe8792dbaa8c3b2edb101ca621e53d3ac5c0e56eae133df3a1f6, 14932242, 299.88371, 2023-04-04 02:53:18, staking, bond
14931764-4, 1soBvusPJJinRyeveqQ4P1HS3Qt92LGYBQA1uw7Qk2kvZ5A, 0xee1a8d2497b308e7410831dc112afc1e067792ede1237b5dfb63dac10778563d, 14931764, 1468.78174, 2023-04-04 02:05:30, staking, bond
14931698-2, 16ib61PFLyQnSEDv6h643PUpkvky5VwByURWXawPnkUPg7Jo, 0x7e9fc79fbd0b61d8db33cae00918eba39057fd1ab0e7b5a6736e0e788c27da61, 14931698, 3341.0, 2023-04-04 01:58:54, staking, bond
14931645-3, 13g5hbxTJRj4xE5b4FqRecafS3DjCCFzz253ZZ4o1xC75c2M, 0xa3455f777d601c8fd845a68ebee95174c0a8571eb56b226021008804cbb6488f, 14931645, 251.0, 2023-04-04 01:53:36, staking, bond
14930991-3, 13AR8UKLTZK82wq1g6HTDRoRsuJ4g8aFDcPKpHfyKe94SeVE, 0x951b4a09266e7b346ef33e109282855358a55294b65302224ce3a064980a8c00, 14930991, 345.57298, 2023-04-04 00:48:12, staking, bond
14930881-3, 14BeHPGWwSJEj4e7fRW9EVSvjGiv8V7sRjNSYnRcaJfzF7cA, 0x0c9d55296ab425e787234a3f6d4f7e6c9a2b05def2cc307a315c74b9077ab27b, 14930881, 16.29044, 2023-04-04 00:37:12, staking, bond
14930018-2, 1aJCHU7KWoncqppoJXq3A12G4CiVKi5gSX6eq7Ay2mu3QwB, 0x90e1a5d49608d1ee843bd6a9b577c0c7e915eab786a92fb5afec3cff2b008f88, 14930018, 3581.4484, 2023-04-03 23:10:54, staking, bond
14929922-2, 15zLVH3yftYHGvXTN5LQWtJvLYs5qsMFxfCZBtCAA6CDXGbU, 0xd3e6b9887314534289c4fd446faa50eb1672016d8d89267f6edd651ebc1649b3, 14929922, 6.2891, 2023-04-03 23:01:18, staking, bond
14929663-2, 14N8zpMFJmGiRG2eWwmPKCfw78xkq3vnD4tts4LUwZ2JmF4g, 0xfd3d0d70bdf2c9d7ff6e0c05e5954f84c58a060d935043a502a60c25623dd3e9, 14929663, 340.0, 2023-04-03 22:35:24, staking, bond
14929643-2, 135meibo3dpWuw7dU4q5p7QSUh2qtaNSuWYjQZQVfJYfyt7a, 0x262e0878caeb739364046c9a5eb0716d5b69b036e35c81cd09248e0531ab7217, 14929643, 334.40765, 2023-04-03 22:33:24, staking, bond
14929310-49, 16YDES69ULXY31AuyUmseQu5SSNVdj66oiKchKsqYaQc4AwK, 0xaede32e00b64c70fe0836b8fa66f433e9af43c69cbb10d4f7ae14b3d7b13a527, 14929310, 1185.0, 2023-04-03 22:00:06, staking, bond
14928495-2, 12P6pMnhtSkak7eJZQfCPLcc4n5hNJgDnRJMdbm72iREs421, 0x6f9ba3f3d2f8a5d4db4ea7a0cfeda895cdc6e91ede6bc477166ffe53b61d2442, 14928495, 500.0, 2023-04-03 20:38:36, staking, bond
14928346-2, 14MEBRWSk1oiufvMMjhUdjMeNuu8zj2v6ya3vPPb9gD89tw6, 0xa0444fcda08888fd76fb304c5cf471da97b1b6debf67d15b41ab853f56fc9933, 14928346, 120.0, 2023-04-03 20:23:42, staking, bond
14927989-2, 154XYo1yVXmr7izqUfRL18GqPyzg1moVgvZ6VFG9Rb6wxmcS, 0x41db19ea2553761cd8abf3f6e416336d92db4fc147fcc9ba749b8804872d1934, 14927989, 435.0, 2023-04-03 19:48:00, staking, bond
