17139091-4, G2bxf6HGZRYJtwKrJB1NF4NySjKwKtF4ZbWcnsx9cMTkcGe, 0xc23f86e4084448c647603f04cf7587f996dda82e98c0424dfe9240cf4a58e7e3, 17139091, 500.0, 2023-03-22 03:38:06, staking, bond
17138915-2, EWwsr2pxHeZJmmuundxJAC5wYtx835VkD1mq4QkMgRFq7BD, 0xe333a1f2739d817ca64e66545f368f01e7df623fab8186e051cb5029c60589c6, 17138915, 552.0, 2023-03-22 03:20:30, staking, bond
17137742-2, Gkk4mgk2WZSVhedLL16F7M5oUkNmLJKoUGMk656MZvDGWWK, 0x1fb8a1273008311dd36b05eb7e47bb0436a7835d8c5dae6d70e84239d8bb7b35, 17137742, 1.59749, 2023-03-22 01:23:06, staking, bond
17136623-2, F62EUXzVdRpMikNspygubbCJYTFkC8B5PbqjwMqmLMjCLBn, 0x3a85baf3d72ee487fd42bba2427254ea1f6f7115331b766a39aefe65d1c3153c, 17136623, 5.0, 2023-03-21 23:30:48, staking, bond
17131963-2, Cp5jaddHGgmR549bgJs8Lf3Z5ooEs5QUH8bQ32pu7mRXFuu, 0xc0ffcc8f2be60bab3c75f7b687fc44266042bc20ba5e4e8d13a1f48ee7179521, 17131963, 11.56992, 2023-03-21 15:43:30, staking, bond
17118139-4, HtGGdhxk2CFYAa5hqzMXK4YLuxoX9sbAEaRAdKt3b84GGjE, 0x0c01ad358a8f8428d80ce21562d4f61d0e7ac74ac6164017b19c21141f9fb2fe, 17118139, 2450.0, 2023-03-20 16:40:36, staking, bond
17114320-2, EJFFajSEKCyc8kriBeT1koY9ANrwJpVs65QfP9Z6RoyG9RP, 0x919200954d4b1731b7e9c679dbcd48491d1f15be0721bb3031b4da33a9886615, 17114320, 103.0, 2023-03-20 10:17:36, staking, bond
17110754-2, CvkfYXu2KkN7N3AU7ez9619kMnjeAdPA6PDFqXChaA837Bh, 0xea58eec08476942cafb5c575c62faee974e19e8132962024cf43966643eb2ca9, 17110754, 1.95, 2023-03-20 04:20:48, staking, bond
17107352-5, GDayru6mRHVqUG21PMiaiDq4gFPp45Fq9QFyrThcxsXpB9v, 0xf395b231110993327b5389b469a0c06ea4fb6f1ef5a1b2777377ace853b65eac, 17107352, 0.10042, 2023-03-19 22:40:00, staking, bond
17106555-2, GjtUkxpsbFZrJbypNczxLq98bpJ6DnufasM3wYMYnToRSJz, 0x1feca2b596b1502c4105a0e4dedabba3c605fc4815bdd161f06a20e5ab8d0d56, 17106555, 10.0, 2023-03-19 21:20:12, staking, bond
17105622-3, EmPgMP9AZJpAVAFgSBKfnpjW66mufnRbtZstXBWDgvLhAMd, 0x40bc7f7aa6859f7d1a76f83c65ed4ae610372c1efdd722e4d7bd391e7cf2d4dc, 17105622, 5.7, 2023-03-19 19:46:48, staking, bond
17102056-5, FNt5vrN4d7n453rzy5Boaiso436AUjSiDpVeoBP5ABxNTif, 0x2be8fe248afec25d78f44797bdd6630c95d1be411e7c7c07deac7a9aa954bc1e, 17102056, 3.5, 2023-03-19 13:49:42, staking, bond
17099077-4, CyePtjBNiEzXpxokvcBEPyGeRbUYD7S93rTsQbQKTSvQkc2, 0x9654bee678062f9b1eabcc019d10c03c53d0bded118f73cb3fdc66f9e98f5fb3, 17099077, 2.0, 2023-03-19 08:51:36, staking, bond
17093297-2, FiD4hUyMhuDymP52tCY1b6dkB7jpeGzdSWcTSFsXqxdDk48, 0x5324066573974982263ea8b29b2f0dbab74d7d49f0c85b8004f2d20cbb981e78, 17093297, 1.1, 2023-03-18 23:12:24, staking, bond
17093056-5, GYcyHW32K41RfKV3Tiby35GDNcmbAhiSebRgirMaKqk2bHp, 0x3ea22f00c1802b1d9fa6a2b5323028ce6fe4494f8236d44b1a3c2284728399a5, 17093056, 6.0, 2023-03-18 22:48:18, staking, bond
17083152-2, J6if9c47o81JsMeB75VwkXtx1nVEaMPvQxuMRYhBR8H6ULU, 0x6d65d932aa41f33bd74ab8e67fdddb7763929f7b20086e76d95406c8f7e4e15d, 17083152, 0.4, 2023-03-18 06:16:54, staking, bond
17081754-6, Hk5QmhDm9X5TdsgsvDb7kSSN6N9VKu7xqWuYmW1ocUamuya, 0x06158e8b0e35dfb54a8be0bba632cf8668409306e65cbdbd93038838da4b4607, 17081754, 0.25, 2023-03-18 03:57:00, staking, bond
17076179-117, FUKd9o3TYtR1BEjjzQxapyubNRMGxRDTQBxKK3aXaAXSB2P, 0x487679612e1708e7c5b92292d08ad5932aeda5662ac80b1bcef32e9f548e8aba, 17076179, 6.63, 2023-03-17 18:39:00, staking, bond
17071283-2, CyNTyyewBTnBQkG1tNcjkBowJNsGqvHx1Pj7Y4L22Ydx1sT, 0xf8d350f6f8861f2a091a9bf0a228970f811e2bc18f64f04c73db15c490cedf3f, 17071283, 59.94747, 2023-03-17 10:28:36, staking, bond
17061740-2, CaWMi7Hc3uTE9z4ygUSa4wQUMeESFFXVjh8E2gEZMzZhJt5, 0x3a21b0f1f3c08ee7165ba2493a869fc860e514657f4f0bcb87bcba8f245048d1, 17061740, 430.23861, 2023-03-16 18:33:12, staking, bond
17038494-4, DyxmfYf41SumL7tR4gxQ7sRCyUajkcQpWSEzj538x6HMgWn, 0x26fc940178c02f4305e96a27da97fb5f3c30a59800114ca25fbd5787816723a4, 17038494, 5.9, 2023-03-15 03:46:12, staking, bond
17036239-7, DuNrThu8caNYMmtHt5BNF2Cz8JzhkaKuwQfPDax7rz2YXFz, 0xd0700661fcebfd92ed5aba28aac07d2a50ad56a6d98a15d5bc9ea6b06789a6d1, 17036239, 0.09967, 2023-03-15 00:00:18, staking, bond
17036172-3, GrG7JZFyaN83UZ51Wv2nrHzwpKtphN6xL6rX2Dva5793KwY, 0xd4d5f53dd821bde5cafacba478813bf99afb6d2ecbf1bdf9c57ab5c0447c4d4f, 17036172, 0.09967, 2023-03-14 23:53:36, staking, bond
17031150-2, FUFgDE24fyYqW4jiQ87tzjK2zBBSixvXhyjgegQCjuyfJja, 0x93d8a3f2ac4ed0da1dbc37b30817b925b7e32aabffaffe35fbfaab68d1fec248, 17031150, 2.0, 2023-03-14 15:30:18, staking, bond
17030155-4, CbBca4ot2UAA8QmtxRvknFkGWW28LXHfZBqrU1uvhDzkYpm, 0x289e55bb9ff63fb25600a767ffa0ed0c5d8baca82fe97487c8c1b05891261d06, 17030155, 35.8, 2023-03-14 13:50:42, staking, bond
17029795-2, J7Xp8kz4azNn3YiuAi5QGVZbzaAz7nC5YxUHWSEJT6ps7ut, 0xbe95661f7ebfda12efde21124288d378b0906f51cf414ca1883ade412d83befc, 17029795, 18.09784, 2023-03-14 13:14:36, staking, bond
17023665-5, DX7yQzCk4jXU2hjojB2nDzAKjvMmjJ3NhVn3eKm3XDtRLg8, 0xcc2fd1ad9c1ab558a05edb229a09e94e9d6ee8d780291761bff5c28e3ee4ab46, 17023665, 1.0, 2023-03-14 03:00:30, staking, bond
17023661-8, ELu2FSqBsVJ15Y4o6fvkqkyQVxNCFikGq9uJnE8Rvg28bWD, 0x517ec03d0c19b9b8a945667da7344303b9ac9375fbccf91613192d874e551254, 17023661, 1.0, 2023-03-14 03:00:06, staking, bond
17023656-6, EMna7WSFZ7oqhFCsHhwLLQ7hwNDkXnN7DrY8mpsxD6pTJ2U, 0x1bc3b89a9684ae574775c02ff84b313538ce399e8b3747590a3b20a7c3eb0798, 17023656, 1.0, 2023-03-14 02:59:36, staking, bond
17023652-7, DdP4DrVu6t1nSyArSu8YvKA7kvrBaeGGMrvH5mo91Uno41N, 0x40be99b63fa2048e28a11a0908248469c44194e2c600d8b45fbd0aec62286768, 17023652, 1.0, 2023-03-14 02:59:12, staking, bond
