3909386-4, 0xb9a533c99ddd4c8cdabb6a0fbfa7022009e30484, 0x9680a235c82df416bec3bb1b696f2c11513307d2ad0886e2422af3970a673138, 3909386, 0.006, 2023-03-27 21:56:30, balances, transfer_keep_alive
3909365-4, 0xb9a533c99ddd4c8cdabb6a0fbfa7022009e30484, 0x96fd6a8e1c5e32445250502511f4ec05801fa0d281d381fbc1db058e82377cef, 3909365, 0.005, 2023-03-27 21:52:12, balances, transfer_keep_alive
3908722-4, 0xef887aac46729e7d2889afe7d14d6e7c0f17fe8a, 0xa17e89605c6fa5eb19bf666437ad4276a4de24127d3f0884e7405d1d559a7b66, 3908722, 60.0, 2023-03-27 19:41:00, balances, transfer_keep_alive
3908168-5, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0x8b8e604d5b24ab26b7a54617809b1e0a47f041cb35a6e45182b4509b94a66eb7, 3908168, 1.25, 2023-03-27 17:48:24, balances, transfer_keep_alive
3908097-4, 0x85983ad1f3073ffa7b51fa0eb1502ac08d088cab, 0x2fa0ceafb41a6f179f3f865087843f47676e63aa09c41fdc392df080e34dbd06, 3908097, 23.141, 2023-03-27 17:33:54, balances, transfer_keep_alive
3908081-5, 0x85983ad1f3073ffa7b51fa0eb1502ac08d088cab, 0x3336278b180d891eaeda59a640ae59a0d424e444e2e671959f50e1e8529a520e, 3908081, 1.0, 2023-03-27 17:30:42, balances, transfer_keep_alive
3907327-5, 0x1367e59070ec898867c35c0600c0ec7483c96af9, 0xe81202405b57bddd12f344a8ed7e4b49fc346c6fc61e81b1383cbb7e749844c1, 3907327, 0.1, 2023-03-27 14:57:06, balances, transfer_keep_alive
3907275-4, 0x5c9eba3b10e45bf6db77267b40b95f3f91fc5f67, 0x7bdbde4c38f8cc7139385880922ea23526b7d48d57707b27f46e6312b0cf0134, 3907275, 0.01, 2023-03-27 14:46:36, balances, transfer_keep_alive
3907181-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0x45bce79a23b185ba4a916e91bcf7dd2cd00704015f1b898fbaf678232cdfd7cd, 3907181, 6.0, 2023-03-27 14:26:54, balances, transfer_keep_alive
3906839-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0x7d001c31beace9c98b4bf8405c6f816a28c80f814d8f61ea8f1eb7eb3f3f9a5e, 3906839, 1.4, 2023-03-27 13:16:48, balances, transfer_keep_alive
