3219924-2, p8CwmBsKYT8xqHjZbpDPx4wGjYN37MW6A7H9FhGppFMBGp9Bt, 0x2763a401f69f8d0f8d92a4cec871e7a2e366cae893e69b47a23f97673c149181, 3219924, 3700.0, 2023-04-02 14:53:18, balances, transfer_keep_alive
3219665-2, p8E78KVqR1L1SAXVw1kETn5SHvLSvvcSsp5NPGxJ8e5QXwJMd, 0xa87eea00358175f102195b6463c19bb7163103c60134e9c8d735a5989d6e993d, 3219665, 100003.91295, 2023-04-02 14:01:06, balances, transfer_keep_alive
3219395-3, p8D7hkRVPuPAVypJVvxZ93cqGNewzscV4FxJWpQJBxxT9D6ob, 0x08083c5f249c57e974d6ec84fe7e9f5ef6e7782bf06c876ec61cbddd62f0451f, 3219395, 10.0, 2023-04-02 13:06:12, balances, transfer_keep_alive
3219395-2, p8CvzdkX3hhAY7j8Xd3X77Za7fCQgUSHyb2jmLB7x4YCZrRBy, 0x98ab6a953e1b139a57180329b5c107d8b931fa82a031aa38aaf1f866c9a50c15, 3219395, 125.0, 2023-04-02 13:06:12, balances, transfer_keep_alive
3219389-2, p8BpDfdasgWesrjZGUEtuob2eYPeEap9ASLzURaVB5CS5sWfg, 0xa2740f4d40e0a9c29926d99327b042b87879e0cc172b2d999c0d2462794aea28, 3219389, 1.0, 2023-04-02 13:05:00, balances, transfer_keep_alive
3219108-2, p8BKAAcWjqyGf1q27GX4rSJG7UghJw5p9x4HCvY4drEacHotn, 0x4a2bd2651f26575df38c3c44561debc03dffcde1f5a48177dee0c65a31e17a83, 3219108, 1716.12166, 2023-04-02 12:08:36, balances, transfer_keep_alive
3218258-2, p8CQCFZ1hZpRG4NGhtqKJRMsAaTjtQqC95BLnEXyfLdHsG3wU, 0xca53c095b64c4c5f0ecec9a661c1615d84b39f4826e20ea814f57a88ffd0f975, 3218258, 31.0, 2023-04-02 09:17:36, balances, transfer_keep_alive
3218172-2, p8Ax492n5ZEs4CVELAAS5SQWDjqV4LJpGMhxUTGN2vdwoAZyB, 0x730155a4c6ebdb244ab055ff41ea42d23ba0d4a19f90c0575cfc21362b1d531f, 3218172, 79.379, 2023-04-02 09:00:06, balances, transfer_keep_alive
3218168-2, p8Ax492n5ZEs4CVELAAS5SQWDjqV4LJpGMhxUTGN2vdwoAZyB, 0xa6c5fca37b73cd2ea5a7bd430d53d0c0b69fa7dd9da94292ab61cd3e6549293f, 3218168, 79.526, 2023-04-02 08:59:18, balances, transfer_keep_alive
3216267-2, p8BQs2UYcfbZb4yNZ52gDiymmWQMZtRWX814cP8W65qNnCKXR, 0x14b6da0caa2bbf0dcb7e03b6b9d11b8952ec30c13aaaef4bf24a285a5f108a7d, 3216267, 48.78626, 2023-04-02 02:36:06, balances, transfer_keep_alive
3216175-2, p8G7Xxi6iqdm4XMrkRZwikn8UybaxK8rqrR2f8Ei8jAq343cZ, 0x43663dbd2c8058a60244c702f5ea2e9b0f26303e59e75c65ff3415ed7b253010, 3216175, 3600.0, 2023-04-02 02:17:36, balances, transfer_keep_alive
3215781-2, p8C695bRTE5HuER4KNWtAuEtenVSp57J1qi2rfKggKUSCvs2Y, 0x34170b48ec542d39e35850f5cc8ffb7f14a602fcc534b313e23370767bcd8b6d, 3215781, 1500.0, 2023-04-02 00:57:06, balances, transfer_keep_alive
