14934880-2, 163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx, 0x4c7f47772ecd0aadc6dbebab5ee126d9ed663502461a9d9b5008e8d85ed6b88e, 14934880, 226.96683, 2023-04-04 07:17:06, balances, transfer_keep_alive
14934869-2, 15UCsmaD37P221X7D3H1Tt5sMrPXusvPdmyGP5KgWGVo6wRC, 0x7d2aaf7b3e5bc79fe9ab6ac89a0111e1ba9d26b5fe511ccee463b95e33b9d01e, 14934869, 5.83759, 2023-04-04 07:16:00, balances, transfer_keep_alive
14934863-2, 148fP7zCq1JErXCy92PkNam4KZNcroG9zbbiPwMB1qehgeT4, 0xa8e7e398bc167a3d308567f7af08fb8a1130e6a139d07f1f1beb2d1f7b12d026, 14934863, 4053.57668, 2023-04-04 07:15:24, balances, transfer_keep_alive
14934859-2, 123TB6wTAMie7EKywqVi3mBSsiKy8EyxPSV45azX2i23trRL, 0x0954b08a31a9442e4ae0f780370874f3ca5f0c1ddb80fb93020e0c0cc2b4c9c7, 14934859, 5.0, 2023-04-04 07:15:00, balances, transfer_keep_alive
14934856-2, 15NGJqhjpVd74TMETreWp2QSa5ifhmLFFcHKdsYeVvsPL9Ss, 0x27869b1b7bb42ada32b5cbc8fa57e2362af0ad4914a1ecd2ee550bd2cb8745e8, 14934856, 3603.5, 2023-04-04 07:14:42, balances, transfer_keep_alive
14934847-2, 12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR, 0x74a291ac12b355a842094309309182a710acb9b868e3c8b282204de737370849, 14934847, 4.0, 2023-04-04 07:13:48, balances, transfer_keep_alive
14934814-2, 15JwmqHx8dJuKPgKSZtjQsv28kgEQthxmUeChNsRtC2X6CiR, 0xb2a04cb12821fb1330bfacf746a8d1ec5f61e2b327928e6ea9066e3543105c85, 14934814, 210.0, 2023-04-04 07:10:30, balances, transfer_keep_alive
14934812-2, 12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR, 0x0a40f7b63275c0ae4195f8dec5b198927c69e64c49a7fcd29ffc9f526883b522, 14934812, 256.0783, 2023-04-04 07:10:18, balances, transfer_keep_alive
14934808-2, 14kUKNV6YMDd4hV8JFR5YVaP8W91Viwemv3PAvkQgVVsjB9o, 0x3dba6f71a92340ba95c3ebf992b8ec198753ccec18097bcdc5227bd3625b0ba7, 14934808, 700.0, 2023-04-04 07:09:54, balances, transfer_keep_alive
14934786-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x4764fb9965d0d5a66905bd171d022054e6cc71a61f9e406c6aab69e0b21ead6b, 14934786, 5.67, 2023-04-04 07:07:42, balances, transfer_keep_alive
14934759-2, 16jqr4nkrFrEumw7ULbyuo7W7L151jSJFDysTE4rwopu1QWP, 0xa258d98614793c536cb6f54bd5999c151f40fe2e209130d32bf543fc7fc30d06, 14934759, 71.56763, 2023-04-04 07:05:00, balances, transfer_keep_alive
14934749-2, 13xYLVe5k5zmM74KHV9ErrnKZCAughk5Gif59Xe38afRStHQ, 0x030b31a13025b3e139aee44434fdd88c90c74b2e1e89e6bd4dcb961c55807cb5, 14934749, 60.0, 2023-04-04 07:04:00, balances, transfer_keep_alive
14934743-2, 144HGaYrSdK3543bi26vT6Rd8Bg7pLPMipJNr2WLc3NuHgD2, 0x2c10a0908f7c0b403a6ce33f17007aa125bbad2247ed5a73a1408d2f8ebb0543, 14934743, 45.07951, 2023-04-04 07:03:24, balances, transfer_keep_alive
14934723-2, 16JYwEwq5VPmDi3QKeAjdVD6BL8R288JpZAx8ufGzwT22F2m, 0xb638948e1bf71168822be7d5ce8d2eb23dc28fb7364571b6229a8170a11631a4, 14934723, 60.0, 2023-04-04 07:01:24, balances, transfer_keep_alive
14934708-2, 12YK4Hqjh8qqetruBrBm5zuFb8KVMamSz84JB4a4f5x34jMt, 0x0370ef2c1b3007b6453aa01d5e53117bdc994f7ebae48908300d63eed6165c08, 14934708, 5.0, 2023-04-04 06:59:54, balances, transfer_keep_alive
14934701-2, 12dJkt9TWxYB3aW7zjtq4Wv5LJEosbsmQVcM2THennvTRguj, 0xac14332dc1bb9265c9435e276795bb909b2932de3bdf941e4d89081394bc429f, 14934701, 34.90101, 2023-04-04 06:59:12, balances, transfer_keep_alive
14934695-2, 14kUKNV6YMDd4hV8JFR5YVaP8W91Viwemv3PAvkQgVVsjB9o, 0x07218fc4c2bb00824b291fc80c9c64fde4eaad7f4ad7c6b859188b5726172687, 14934695, 200.0, 2023-04-04 06:58:36, balances, transfer_keep_alive
14934687-2, 12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR, 0x7fc3227ab3d1e5e2304cdb0dc50ceaa7d800531129ec831e84c385f32ed5956c, 14934687, 31.3379, 2023-04-04 06:57:48, balances, transfer_keep_alive
14934683-2, 16XKZABpMZB8tZgd2vvYdBr28KCpi8QXQ2rj24F4CkEzKz8A, 0xda9d6399a0350035c3e59c156c0795d4ee31a7ed67620068b51d6bf402834272, 14934683, 10.0, 2023-04-04 06:57:24, balances, transfer_keep_alive
14934640-2, 14KmbZSgcLQ6y71yN81eiXRoL3WPiSAQA8FBXF72KdwuNaEi, 0x3540eb5d3c3788ae206c78d9c0c8622d6941075cfdbce7c219aaf6859d87f5a9, 14934640, 14.98416, 2023-04-04 06:53:06, balances, transfer_keep_alive
14934625-2, 146Z1WJMaTmMcuUuYuQE8KCCbwv2xHtYdEzm3MxX3T25V28R, 0x3f56ff5e37527a0cf209305b2c7bf804f0c398119e74c9e6021fb80dab9c2500, 14934625, 4.0, 2023-04-04 06:51:36, balances, transfer_keep_alive
14934623-2, 15zAzu3hKv3HDVbR9CJKG5RfJ4WYqaUZBybmX6ETVzP5L98e, 0xa7c026e32788e9835c095a60c634a3d941f0a5030a06301298bfdbfe33dd602a, 14934623, 15.0, 2023-04-04 06:51:24, balances, transfer_keep_alive
14934587-2, 15kUt2i86LHRWCkE3D9Bg1HZAoc2smhn1fwPzDERTb1BXAkX, 0x90e0e1f7e8a2b78868217b33c4c4b5d2088375b9549ca4dddee54b05e65c5c5a, 14934587, 56.27235, 2023-04-04 06:47:48, balances, transfer_keep_alive
14934574-2, 16FSD5dG7DY2jvqGPKHRauU8HCei4Kh2eTq5aET81b9rQ5L4, 0x3386ab0f46c05d3a37a678c7a2f517d3ba54242ea42f81eccc5d1dfb76d502c5, 14934574, 44.48415, 2023-04-04 06:46:30, balances, transfer_keep_alive
14934559-2, 1CUKKQhuqcbqXSY4QhWZxFct5uTKbWVCMKMUBHqWyc8ds1c, 0xc17dd42da8218ddee052b14e1171f21478d28f25e89c7a126932e898cb6df9a4, 14934559, 666.0, 2023-04-04 06:45:00, balances, transfer_keep_alive
14934557-2, 144HGaYrSdK3543bi26vT6Rd8Bg7pLPMipJNr2WLc3NuHgD2, 0xbcc556d2ec8c49b6772c9375c887fb9ec18e67fa17103ae80a14257d9085b554, 14934557, 50.69291, 2023-04-04 06:44:48, balances, transfer_keep_alive
14934536-2, 1bmYVqJ5ZUXuPC6wrLBXE6bAic2ESp7jBjjuZK9TPfNsuFk, 0x6d9477eb8a35b539d0c40a4626c3acc39122150450b776fff0635e9e221dc4ea, 14934536, 3.0, 2023-04-04 06:42:42, balances, transfer_keep_alive
14934518-2, 163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx, 0xcf668f3c8fd8f1ffa44a83d6121f79f09ef220c5e6d00c267dd643db76895637, 14934518, 90.55118, 2023-04-04 06:40:54, balances, transfer_keep_alive
14934515-2, 13CoUe1SwyPCnXSoEa23uvH8bros1KQ9iUMLUefH1WuCtp2a, 0x38c7416709570ce9b93c3d01aae6f2c9ce17f47c83824ecca5aa8ed548ace0ba, 14934515, 35.0, 2023-04-04 06:40:36, balances, transfer_keep_alive
14934510-2, 14GHi1hWWef7y6BSdDjhKgoZeA56FwcHTdGRaMuiFX5w2rYP, 0x28799e1890de496a25946869c1692b5a2adff91314e0f90378b6273048512a97, 14934510, 6.94579, 2023-04-04 06:40:06, balances, transfer_keep_alive
14934500-2, 14cAxX4vsGUFdgGAJhWdUNp6fnqrB2Ua2psCnMPGn1eBNkvy, 0x09fc732cad679412846318006dbc61f3ff369573e01979f094b97114ea508881, 14934500, 150.0, 2023-04-04 06:39:06, balances, transfer_keep_alive
14934490-2, 13DhqifMvNZDy6Z6HJ3Lb2gaGSY4DtfuU8jLjMKk38V7ixD3, 0xfc493f6a059c2ae02adf80dd71750c083d7a979b3bc40c5b456b8ce70ef1e50f, 14934490, 11.73778, 2023-04-04 06:38:06, balances, transfer_keep_alive
14934482-2, 15ovr2wg5ud8nsqvBHkU7tqFZf4e73VcpFTqzQiaywFaCprK, 0x24b30e3c67d3f9029b3e8287d44bd9abe58b5d02b98eb2e93af71f59463b4f6d, 14934482, 15.93883, 2023-04-04 06:37:18, balances, transfer_keep_alive
14934481-2, 12zdGCHD8Bm5VxNNKSJkBBi39d2gpabnSjCjMScsxRY6Jqj4, 0x5a7d227c92b9b3ebad9365024f8836b42c03f599d7844566e4029bb7f212b90b, 14934481, 1.2, 2023-04-04 06:37:12, balances, transfer_keep_alive
14934469-2, 15iLRSwhMHYFKjV9GbP6XQ6DjYzc28eD9HR9n5GVvxFz6rud, 0x65bfe556e47ba4be8703b651f981fdeed3673cdb2fd3821a140edc04163d2e8d, 14934469, 1.1, 2023-04-04 06:36:00, balances, transfer_keep_alive
14934467-2, 13ZGUrkbi9EgUJYV4zrEqQ7xb9J1NW48nZrov3yurqBqUPXh, 0x50ea6403117a2f888cd04024e4aaa5eb841c1fc0f09f51d302c366617a778c78, 14934467, 200.0, 2023-04-04 06:35:48, balances, transfer_keep_alive
14934465-2, 15PQyHDgJ1pDxiw55Dxj2FsrZxgvKdyKR3JYaf59bJD472f6, 0x4ff2b158bf7abf24d575979542ead38168ddd2c2ef6f0252773a54e33a77eb14, 14934465, 2.329, 2023-04-04 06:35:36, balances, transfer_keep_alive
14934454-2, 1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1, 0xeeb1d3c4eba3630f2da1f5c2d19ea34931215827feaf571d9496d28fac03903a, 14934454, 18.80291, 2023-04-04 06:34:30, balances, transfer_keep_alive
