3045162-2, bXiEPMvDLi9k7B5pqaYfvef6XJMzFcCdgrgPKtN2ek5uVe8b3, 0x762199bdb9148aabf8638e8d48c1b09ab5aad271d53737d609c301cd85179b06, 3045162, 6724.0, 2023-03-28 15:13:36, balances, transfer_keep_alive
3045160-2, bXkdNA9EEev5rGc882uXgdBKfWmgYZQXbXtXf1Ny7JSSLw3vz, 0x5462b0082edc0c570af6cdf42eb4e9275c2a09c08b4a4887bd65be5393712101, 3045160, 6724.0, 2023-03-28 15:13:12, balances, transfer_keep_alive
3045155-2, bXghrt8UW6ZbumphSh8UkiLtvDgJBrpqExAnnHLXZbuoTynNh, 0xff144cc10e04f5d5e5239471c00c06e2540086c459ed21cf209baf6282509fd8, 3045155, 6723.9493, 2023-03-28 15:12:12, balances, transfer_keep_alive
3045150-2, bXkQU7CsdA6XnWqg1fAuyG4XaUanMeuTGPqAV4oSsHAyHEsKE, 0x668d269202dd398930f2b19e04ab653355b1a296f6f9163558c35bc33122b7df, 3045150, 6712.0, 2023-03-28 15:11:12, balances, transfer_keep_alive
3045142-2, bXmoJBZnyFSw94fRH3aj4FHyBA6o4UM5YxAsVrs4fnFywQRK6, 0xc05d89bd09b0df129bd1ee1af8a9a9a8ee0b80d0b40ee629666f9cf7958e93bd, 3045142, 303710.0, 2023-03-28 15:09:36, balances, transfer_keep_alive
3041260-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x2ed61fa2bdeb72bc79a68a08772088a7b93056d1a34bca89362e1a074536cfb8, 3041260, 1007000.0, 2023-03-28 01:24:36, balances, transfer_keep_alive
3041218-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x88c4738442e9d248f6a5ab5d3646319a00e3c68fd064244615dc7ed6fc4d0f15, 3041218, 1016000.0, 2023-03-28 01:14:54, balances, transfer_keep_alive
3040904-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xe34265f1b2a695dc86cfb421bfdf9f82f60a24292c24fa66dd48b95708fa0ba3, 3040904, 1013000.0, 2023-03-28 00:08:01, balances, transfer_keep_alive
3040735-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xc75dbff8591bfaae02646ff3fff0089cbfd95503c00f9c625bae5864d6d35b4a, 3040735, 1011000.0, 2023-03-27 23:31:48, balances, transfer_keep_alive
3040717-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x14bf5feba455fdf148c38a018694f46fb636078f2cd17af9c756ce1de13c5e21, 3040717, 200000.0, 2023-03-27 23:27:55, balances, transfer_keep_alive
3040686-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x599d75d6b33ae15d8ed7fcc5ebe3fe9271a2285cd331bf7fa21184328888ca81, 3040686, 1330000.0, 2023-03-27 23:21:06, balances, transfer_keep_alive
3040626-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x3fb195cf2cb3d4a85092fdefb59815636abda2d16b2ba5a1ae52929c530cdd67, 3040626, 1635000.0, 2023-03-27 23:09:06, balances, transfer_keep_alive
3039877-2, bXj3PP5LSbdr6dcMqFM5F3HpmhrbPRrDoLpodvHdujDH7q91k, 0xc811708e04c30e6ac450d6ec9a780678d75fe4ff68e9b66672edff15e0a376fe, 3039877, 134926.0, 2023-03-27 20:27:55, balances, transfer_keep_alive
3039821-2, bXjW6yQNhPuTytgcgHGZWgQw5M9bBrUxs8Q7ubUnuPr7KNJU4, 0xf6e60980a235c329e339fff8f7dec23247d5d09ba4c5c306ad7e41f0bf5595de, 3039821, 134973.0, 2023-03-27 20:15:54, balances, transfer_keep_alive
3039776-2, bXj3PP5LSbdr6dcMqFM5F3HpmhrbPRrDoLpodvHdujDH7q91k, 0x996830b7f11420a03ad635145b2f6b541cc09682f1515c83370da6f9747a9ef0, 3039776, 216229.0, 2023-03-27 20:06:54, balances, transfer_keep_alive
3039581-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x130abb5962e7872f682e7668375b8fd1290fdc0f62433d7a5793d3fbdebdba19, 3039581, 1020000.0, 2023-03-27 19:25:29, balances, transfer_keep_alive
3039530-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x398bf6cdb7193fd377d5223ae90f8cd3573c75e8fe63b2fe8acfac2d342a90b1, 3039530, 1525000.0, 2023-03-27 19:14:06, balances, transfer_keep_alive
3039052-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xbfaee8f88ff56f3f9752840df7e4416f31ca18ad260475877afcf45318ed979c, 3039052, 1010000.0, 2023-03-27 17:33:42, balances, transfer_keep_alive
3038044-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xea97149a05db88dd489de9bbca6b0e763dfd3fe1ce0e6e38b469447bca94e481, 3038044, 1000000.0, 2023-03-27 14:01:29, balances, transfer_keep_alive
3037947-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xdf9319ffefa038b58db1cf610c5f496799bee4a151c05c5fd2e59ca03d5925f3, 3037947, 1007000.0, 2023-03-27 13:40:24, balances, transfer_keep_alive
3037518-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xf3156c5cee0c034cb5879186c7e43606566e49d4e885049c1a2a0dee2af613ca, 3037518, 1000000.0, 2023-03-27 12:08:30, balances, transfer_keep_alive
3037479-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xc3666f512d6502c0d2f455c5c75b12631992c215db85a3279fa1e5c3a0da09ce, 3037479, 1506000.0, 2023-03-27 12:00:18, balances, transfer_keep_alive
3037424-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0xa4838eeb8ca747728c2fea6dace393ba7111dab582e6794393d02b3417b35daf, 3037424, 1509000.0, 2023-03-27 11:49:00, balances, transfer_keep_alive
3032156-2, bXipvjzDcA7JcuEAT3L2QedPPwX2N2TAXB3wYzHWN6Fr4CWF1, 0x3f2156d1729758f19d6a1b4eadf1ec5954434cb991804bd57a4cd82e24b7aae5, 3032156, 500.0, 2023-03-26 17:03:00, balances, transfer_keep_alive
3028422-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x29a5598d202f987477d32dcb17b9ae62d00020b48264df5988a2eaf7befd00cd, 3028422, 1000000.0, 2023-03-26 03:52:06, balances, transfer_keep_alive
3028421-2, bXhnec2Wat1Xb2ahTGnvp1DCaKVNNqSzmtRM3Awph3cKwcNrk, 0x4515b4c588fa19e0795661a5d7e32c32c6e5389b94fafb35c30de68b44ad8912, 3028421, 1050000.0, 2023-03-26 03:51:54, balances, transfer_keep_alive
3028295-2, bXie3KQvQPp7QsmBb7QUzHfzgGZg6iVgAfLSpqW1NyaqzKByy, 0x6ac6ee7b005a7df388a9b25a1d81f59f20325e1c3a65168ee40af6465f4550b9, 3028295, 970000.0, 2023-03-26 03:24:54, balances, transfer_keep_alive
